"","Raw.Filename","Successful.Feeding.Strikes","Unsuccessful.Feeding.Strikes","Success.Accuracy","Pop","Food.Treatment","Date","Tank","AgeAtMeasurement.days","date.food.treat.began","fry.birth.date","time.mother.in.food.treatment","brood.size","mom.sl"
"43","07-26-19_35-BON-L.txt","16","4","0.8","35-BON-L","L","07-26-19","35-BON-L",26,2019-06-24,2019-06-30,6,33,65
"44","07-26-19_48-PSO-H.txt","8","4","0.666666666666667","48-PSO-H","H","07-26-19","48-PSO-H",15,2019-07-10,2019-07-11,1,5,NA
"45","07-26-19_53-BON-L.txt","27","7","0.794117647058823","53-BON-L","L","07-26-19","53-BON-L",10,2019-06-24,2019-07-16,22,18,46
"46","08-07-19_01-BON-L.txt","4","4","0.5","01-BON-L","L","08-07-19","01-BON-L",30,2019-06-24,2019-07-08,14,22,NA
"47","08-07-19_02-BON-L.txt","9","2","0.818181818181818","02-BON-L","L","08-07-19","02-BON-L",47,2019-06-24,2019-06-21,0,12,NA
"48","08-07-19_04-PSO-H.txt","13","4","0.764705882352941","04-PSO-H","H","08-07-19","04-PSO-H",0,2019-06-24,2019-08-07,44,40,45
"49","08-07-19_07-BON-H.txt","21","7","0.75","07-BON-H","H","08-07-19","07-BON-H",16,2019-06-24,2019-07-22,28,26,45
"50","08-07-19_11-PSO-H.txt","1","1","0.5","11-PSO-H","H","08-07-19","11-PSO-H",29,2019-06-24,2019-07-09,15,20,55
"51","08-07-19_13-BON-H.txt","45","8","0.849056603773585","13-BON-H","H","08-07-19","13-BON-H",36,2019-06-24,2019-07-02,8,6,46
"53","08-07-19_19-PSO-H.txt","3","2","0.6","19-PSO-H","H","08-07-19","19-PSO-H",14,2019-06-24,2019-07-24,30,23,42
"54","08-07-19_22-BON-H.txt","11","4","0.733333333333333","22-BON-H","H","08-07-19","22-BON-H",41,2019-06-24,2019-06-27,3,48,67
"55","08-07-19_24-PSO-H.txt","3","3","0.5","24-PSO-H","H","08-07-19","24-PSO-H",1,2019-06-24,2019-08-06,43,34,50
"56","08-07-19_29-BON-H.txt","35","14","0.714285714285714","29-BON-H","H","08-07-19","29-BON-H",36,2019-06-24,2019-07-02,8,7,46
"57","08-07-19_32-PSO-L.txt","14","9","0.608695652173913","32-PSO-L","L","08-07-19","32-PSO-L",36,2019-06-24,2019-07-02,8,9,48
"58","08-07-19_41-BON-H.txt","3","1","0.75","41-BON-H","H","08-07-19","41-BON-H",2,2019-06-24,2019-08-05,42,72,49
"59","08-07-19_48-PSO-H.txt","5","1","0.833333333333333","48-PSO-H","H","08-07-19","48-PSO-H",27,2019-07-10,2019-07-11,1,5,NA
"60","08-07-19_52-BON-H-2ndBrood.txt","3","1","0.75","52-BON-H-2ndBrood","H","08-07-19","52-BON-H",30,2019-06-24,2019-07-08,14,4,47
"61","08-07-19_53-BON-L.txt","6","2","0.75","53-BON-L","L","08-07-19","53-BON-L",22,2019-06-24,2019-07-16,22,18,46
"62","08-07-19_60-BON-L.txt","9","6","0.6","60-BON-L","L","08-07-19","60-BON-L",2,2019-06-24,2019-08-05,42,15,39
"63","08-21-19_02-BON-L.txt","6","0","1","02-BON-L","L","08-21-19","02-BON-L",61,2019-06-24,2019-06-21,0,12,NA
