"","Raw.Filename","Successful.Feeding.Strikes","Unsuccessful.Feeding.Strikes","Success.Accuracy","Pop","Tank","Food.Treatment","Date","AgeAtMeasurement.days","date.food.treat.began","fry.birth.date","time.mother.in.food.treatment","brood.size","mom.sl","week.of.measure","mom.sl.2"
"98","10-11-19_20-PSO-H.txt",2,0,1,"PSO","20-PSO-H","H",2019-10-11,16,2019-06-24,2019-09-25,93,55,49,3,49
"99","10-11-19_30-PSO-L.txt",12,9,0.571428571428571,"PSO","30-PSO-L","L",2019-10-11,45,2019-08-06,2019-08-27,21,25,45,7,45
"100","10-11-19_39-PSO-H.txt",9,4,0.692307692307692,"PSO","39-PSO-H","H",2019-10-11,25,2019-06-24,2019-09-16,84,9,40,4,40
"102","10-11-19_56-PSO-H.txt",14,8,0.636363636363636,"PSO","56-PSO-H","H",2019-10-11,45,2019-06-24,2019-08-27,64,6,43,7,43
"103","10-11-19_58-PSO-H.txt",4,1,0.8,"PSO","58-PSO-H","H",2019-10-11,95,2019-06-24,2019-07-08,14,4,39,14,39
"104","10-19-19_58-PSO-H.txt",28,13,0.682926829268293,"PSO","58-PSO-H","H",2019-10-19,103,2019-06-24,2019-07-08,14,4,39,15,39
"105","10-25-19_20-PSO-H.txt",3,3,0.5,"PSO","20-PSO-H","H",2019-10-25,30,2019-06-24,2019-09-25,93,55,49,5,49
"106","10-25-19_39-PSO-H.txt",5,1,0.833333333333333,"PSO","39-PSO-H","H",2019-10-25,39,2019-06-24,2019-09-16,84,9,40,6,40
"107","10-25-19_56-PSO-H.txt",11,8,0.578947368421053,"PSO","56-PSO-H","H",2019-10-25,59,2019-06-24,2019-08-27,64,6,43,9,43
"108","10-31-19_58-PSO-H.txt",20,11,0.645161290322581,"PSO","58-PSO-H","H",2019-10-31,115,2019-06-24,2019-07-08,14,4,39,17,39
"109","11-15-19_39-PSO-H.txt",19,8,0.703703703703704,"PSO","39-PSO-H","H",2019-11-15,60,2019-06-24,2019-09-16,84,9,40,9,40
"110","11-15-19_57-PSO-L.txt",15,8,0.652173913043478,"PSO","57-PSO-L","L",2019-11-15,88,2019-06-24,2019-08-19,56,6,29,13,29
"2","06-27-19_09-BON-L.txt",7,3,0.7,"BON","09-BON-L","L",2019-06-27,6,2019-06-24,2019-06-21,0,14,NA,1,48.0909090909091
"3","06-27-19_12-BON-H.txt",7,1,0.875,"BON","12-BON-H","H",2019-06-27,5,2019-06-24,2019-06-22,0,25,66,1,66
"4","06-27-19_21-BON-H.txt",2,0,1,"BON","21-BON-H","H",2019-06-27,1,2019-06-24,2019-06-26,2,8,NA,1,48.0909090909091
"5","06-27-19_27-BON-L.txt",7,2,0.777777777777778,"BON","27-BON-L","L",2019-06-27,0,2019-06-24,2019-06-27,3,5,45,1,45
"6","06-27-19_40-BON-L.txt",5,1,0.833333333333333,"BON","40-BON-L","L",2019-06-27,3,2019-06-24,2019-06-24,0,3,37,1,37
"7","07-10-19_52-BON-H.txt",3,1,0.75,"BON","52-BON-H","H",2019-07-10,2,2019-06-24,2019-07-08,14,4,47,1,47
"8","07-17-19_01-BON-L.txt",5,1,0.833333333333333,"BON","01-BON-L","L",2019-07-17,9,2019-06-24,2019-07-08,14,22,NA,2,48.0909090909091
"9","07-17-19_02-BON-L.txt",1,1,0.5,"BON","02-BON-L","L",2019-07-17,26,2019-06-24,2019-06-21,0,12,NA,4,48.0909090909091
"10","07-17-19_09-BON-L.txt",6,3,0.666666666666667,"BON","09-BON-L","L",2019-07-17,26,2019-06-24,2019-06-21,0,14,NA,4,48.0909090909091
"12","07-17-19_12-BON-H.txt",48,21,0.695652173913043,"BON","12-BON-H","H",2019-07-17,25,2019-06-24,2019-06-22,0,25,66,4,66
"13","07-17-19_13-BON-H.txt",6,3,0.666666666666667,"BON","13-BON-H","H",2019-07-17,15,2019-06-24,2019-07-02,8,6,46,3,46
"15","07-17-19_18-BON-L.txt",6,0,1,"BON","18-BON-L","L",2019-07-17,9,2019-06-24,2019-07-08,14,7,45,2,45
"16","07-17-19_21-BON-H.txt",25,9,0.735294117647059,"BON","21-BON-H","H",2019-07-17,21,2019-06-24,2019-06-26,2,8,NA,3,48.0909090909091
"17","07-17-19_22-BON-H.txt",15,3,0.833333333333333,"BON","22-BON-H","H",2019-07-17,20,2019-06-24,2019-06-27,3,48,67,3,67
"19","07-17-19_27-BON-L.txt",12,4,0.75,"BON","27-BON-L","L",2019-07-17,20,2019-06-24,2019-06-27,3,5,45,3,45
"20","07-19-19_29-BON-H.txt",32,11,0.744186046511628,"BON","29-BON-H","H",2019-07-19,17,2019-06-24,2019-07-02,8,7,46,3,46
"23","07-19-19_35-BON-L.txt",16,8,0.666666666666667,"BON","35-BON-L","L",2019-07-19,19,2019-06-24,2019-06-30,6,33,65,3,65
"25","07-19-19_53-BON-L.txt",6,2,0.75,"BON","53-BON-L","L",2019-07-19,3,2019-06-24,2019-07-16,22,18,46,1,46
"26","07-25-19_01-BON-L.txt",10,3,0.769230769230769,"BON","01-BON-L","L",2019-07-25,17,2019-06-24,2019-07-08,14,22,NA,3,48.0909090909091
"27","07-25-19_02-BON-L.txt",37,15,0.711538461538462,"BON","02-BON-L","L",2019-07-25,34,2019-06-24,2019-06-21,0,12,NA,5,48.0909090909091
"28","07-25-19_07-BON-H.txt",15,6,0.714285714285714,"BON","07-BON-H","H",2019-07-25,3,2019-06-24,2019-07-22,28,26,45,1,45
"29","07-25-19_09-BON-L.txt",3,1,0.75,"BON","09-BON-L","L",2019-07-25,34,2019-06-24,2019-06-21,0,14,NA,5,48.0909090909091
"31","07-25-19_12-BON-H.txt",14,8,0.636363636363636,"BON","12-BON-H","H",2019-07-25,33,2019-06-24,2019-06-22,0,25,66,5,66
"32","07-25-19_13-BON-H.txt",7,2,0.777777777777778,"BON","13-BON-H","H",2019-07-25,23,2019-06-24,2019-07-02,8,6,46,4,46
"33","07-25-19_14-BON-H.txt",9,5,0.642857142857143,"BON","14-BON-H","H",2019-07-25,1,2019-06-24,2019-07-24,30,11,35,1,35
"35","07-25-19_18-BON-L.txt",32,14,0.695652173913043,"BON","18-BON-L","L",2019-07-25,17,2019-06-24,2019-07-08,14,7,45,3,45
"37","07-25-19_21-BON-H.txt",21,10,0.67741935483871,"BON","21-BON-H","H",2019-07-25,29,2019-06-24,2019-06-26,2,8,NA,5,48.0909090909091
"39","07-26-19_27-BON-L.txt",24,3,0.888888888888889,"BON","27-BON-L","L",2019-07-26,29,2019-06-24,2019-06-27,3,5,45,5,45
"40","07-26-19_29-BON-H.txt",18,4,0.818181818181818,"BON","29-BON-H","H",2019-07-26,24,2019-06-24,2019-07-02,8,7,46,4,46
"43","07-26-19_35-BON-L.txt",16,4,0.8,"BON","35-BON-L","L",2019-07-26,26,2019-06-24,2019-06-30,6,33,65,4,65
"45","07-26-19_53-BON-L.txt",27,7,0.794117647058823,"BON","53-BON-L","L",2019-07-26,10,2019-06-24,2019-07-16,22,18,46,2,46
"46","08-07-19_01-BON-L.txt",4,4,0.5,"BON","01-BON-L","L",2019-08-07,30,2019-06-24,2019-07-08,14,22,NA,5,48.0909090909091
"47","08-07-19_02-BON-L.txt",9,2,0.818181818181818,"BON","02-BON-L","L",2019-08-07,47,2019-06-24,2019-06-21,0,12,NA,7,48.0909090909091
"49","08-07-19_07-BON-H.txt",21,7,0.75,"BON","07-BON-H","H",2019-08-07,16,2019-06-24,2019-07-22,28,26,45,3,45
"51","08-07-19_13-BON-H.txt",45,8,0.849056603773585,"BON","13-BON-H","H",2019-08-07,36,2019-06-24,2019-07-02,8,6,46,6,46
"54","08-07-19_22-BON-H.txt",11,4,0.733333333333333,"BON","22-BON-H","H",2019-08-07,41,2019-06-24,2019-06-27,3,48,67,6,67
"56","08-07-19_29-BON-H.txt",35,14,0.714285714285714,"BON","29-BON-H","H",2019-08-07,36,2019-06-24,2019-07-02,8,7,46,6,46
"58","08-07-19_41-BON-H.txt",3,1,0.75,"BON","41-BON-H","H",2019-08-07,2,2019-06-24,2019-08-05,42,72,49,1,49
"60","08-07-19_52-BON-H-2ndBrood.txt",3,1,0.75,"BON","52-BON-H-2ndBrood","H",2019-08-07,9,2019-06-24,2019-07-29,35,38,47,2,47
"61","08-07-19_53-BON-L.txt",6,2,0.75,"BON","53-BON-L","L",2019-08-07,22,2019-06-24,2019-07-16,22,18,46,4,46
"62","08-07-19_60-BON-L.txt",9,6,0.6,"BON","60-BON-L","L",2019-08-07,2,2019-06-24,2019-08-05,42,15,39,1,39
