"","tank","trial.date","pop","food.treat","avgspeed","maxspeed","max.accel","swimming.time","freezing.time","burst.swimming.time","tot.dist.traveled","avg.d.from.center","prop.d.from.center","bday","time.mother.in.food.treat","mother.SL.mm","brood.size","age","PC1","PC2","PC3","PC4","PC5","week.of.measure","mom.sl.2"
"2","03-PSO-H",2019-06-26,"PSO","H",9.80710906067311,45.6009332252006,29.5641890265627,85.7333333333333,8.33333333333333,26.0333333333333,1177.83379818684,39.1692077091784,0.845015520817849,2019-06-24,0,39,3,2,0.797263571721626,1.46151653241201,-0.0437623002576858,0.120172994310064,-0.0246591151447273,1,39
"7","03-PSO-H",2019-07-01,"PSO","H",7.17216553858237,56.0926470690351,24.6010106374392,90.3,15.7333333333333,13.2,855.161204383639,40.5525325223613,0.874858629878187,2019-06-24,0,39,3,7,0.214943968548596,0.961702050200669,0.460898646235978,0.0861105961721203,0.01537272769469,1,39
"13","23-PSO-H",2019-07-02,"PSO","H",1.64945351528557,24.053117630045,13.2607628271709,50.0333333333333,69.9,0.433333333333333,198.53922145654,43.6121611122627,0.940865419333846,2019-06-29,5,44,13,3,-1.0478420388779,0.0090708544457565,1.5166586877983,0.0337391028369258,0.00223191963123283,1,44
"16","32-PSO-L",2019-07-02,"PSO","L",12.6294423093995,89.155839210795,74.9111850788666,72.6666666666667,7.76666666666667,39.7,1517.21700276919,41.3519289566703,0.892104380654996,2019-07-02,8,48,9,0,1.63337974723619,1.99643163214156,-0.195954414464245,0.155156958644518,-0.041107376019561,1,48
"20","32-PSO-L",2019-07-08,"PSO","L",12.1232883259718,209.721115676577,207.513691812491,64.3333333333333,7.86666666666667,31.2333333333333,1253.95212251635,42.0898559919176,0.908024023519483,2019-07-02,8,48,9,6,1.64403095302895,1.39759342025515,0.106013300990315,-0.141639610832807,-0.0431635571849665,1,48
"26","11-PSO-H",2019-07-16,"PSO","H",3.04676380647895,59.2762470926402,42.7639558316035,65.4666666666667,51.2333333333333,3.36666666666667,365.814774364572,43.7715287599762,0.94430353166009,2019-07-09,15,55,20,7,-0.634680262187417,0.212562397011746,1.35096323713427,0.050599593528941,0.00453210585530539,1,55
"29","17-PSO-L",2019-07-16,"PSO","L",1.69064745444803,35.5974740400403,11.5306203094326,51.2,68.5333333333333,1.13333333333333,204.342922327619,24.4092604068313,0.526592318348676,2019-07-08,14,35,6,8,-1.55754404967229,-0.685195740141769,-0.437238524356793,0.0201820523792915,0.00993316722941156,2,35
"33","23-PSO-H",2019-07-16,"PSO","H",9.32319663582226,390.469131833904,390.232422592412,56.0333333333333,26.1333333333333,22.9666666666667,980.178739646113,32.2988759246581,0.696798660415859,2019-06-29,5,44,13,17,1.2271149020916,0.042510057935254,-0.492800464411099,-0.0838723432771773,-0.0701105108006528,3,44
"36","32-PSO-L",2019-07-16,"PSO","L",9.02813708001869,155.77658304267,155.77658304267,57.5666666666667,47.1333333333333,16,1089.69614555826,45.6476942463708,0.984778921598975,2019-07-02,8,48,9,14,1.09233382743109,1.22256355134548,0.749771674644729,0.127254124224657,-0.0574459108512497,2,48
"38","48-PSO-H",2019-07-16,"PSO","H",10.1335422745172,337.746394799412,328.695428000224,80.6666666666667,14.3,23.2,1197.44691210545,38.9064623142676,0.8393471923091,2019-07-11,1,NA,5,5,1.5805066681865,0.706902522406531,-0.0216532940678018,0.104969010280151,-0.0636409265461222,1,44.9166666666667
"44","11-PSO-H",2019-07-24,"PSO","H",8.07520483991343,362.585420203654,338.115315633551,69.3666666666667,25.8333333333333,18.7,919.76583126614,50.3303205607281,1.08579939521184,2019-07-09,15,55,20,15,1.42331151661037,0.62551004567074,1.44182227585874,0.0516806706700827,-0.0154607077907445,3,55
"48","17-PSO-L",2019-07-24,"PSO","L",4.92149696360618,30.2380079103546,19.1925101764672,92.1333333333333,22.6,6.13333333333333,594.844933001201,22.4808189492447,0.484989154589318,2019-07-08,14,35,6,16,-0.844080459150885,-0.0972580645247682,-1.07537337321583,0.0553936938049397,-0.0282038627477278,3,35
"52","23-PSO-H",2019-07-24,"PSO","H",2.39213724923513,77.4680367566284,77.4680367566284,37.4333333333333,69.0333333333333,3.13333333333333,262.178242516171,18.3779046068361,0.396475076753911,2019-06-29,5,44,13,25,-1.45172672904693,-0.928633049592932,-1.1137772783345,-0.0180301542796528,-0.0428513701916646,4,44
"55","31-PSO-H",2019-07-24,"PSO","H",8.17456342498817,87.7818415861935,56.2848424265245,50.7666666666667,24.7333333333333,18,764.321680236394,42.3489573373176,0.913613737254655,2019-07-19,11,49,26,5,0.365757672001543,0.955995671685654,0.643031657508321,-0.207473063271739,0.0405344547152764,1,49
"56","32-PSO-L",2019-07-24,"PSO","L",15.3742638645943,93.4173431435515,65.2915542657262,54.5,8.16666666666667,55.8,1821.33779249227,40.544764087427,0.874691037821163,2019-07-02,8,48,9,22,2.22479102323035,2.51190476707707,-0.638575469303347,0.149579779983903,-0.0229701954951412,4,48
"58","48-PSO-H",2019-07-24,"PSO","H",9.7534975083305,79.6909656109148,62.1938042853848,59.9333333333333,20.7666666666667,27.0666666666667,1051.10191481442,43.7957759613964,0.944826627804608,2019-07-11,1,NA,5,13,0.873815488362734,1.41952061982545,0.515184096079986,-0.049755386911094,-0.00375492840935673,2,44.9166666666667
"66","11-PSO-H",2019-08-01,"PSO","H",9.57955180228428,121.963029746723,78.0839273744092,68.2,25.9666666666667,26.5333333333333,1156.25190253571,34.4385805828372,0.74295950338088,2019-07-09,15,55,20,23,0.772454621995079,1.08362683182785,-0.479708061956208,0.128629714254711,0.0164804700912109,4,55
