"","tanks","treatments","populations","dates","max.veloc","max.accel","net.dist.traveled","birth.date","days_mom_in_food_treat","mom.SL","brood.size","PC1","fry.age.at.test","week.of.measure","mom.sl.2"
"128","57-PSO-L","L","PSO","8/30/19",903.655183830863,606.047701768459,77.6563605966032,2019-08-19,56,29,6,-1.16818187885749,11,2,29
"129","58-PSO-H-2ndBrood","H","PSO","8/30/19",915.674748016026,678.053580828799,85.4243180817247,2019-08-03,40,39,26,-1.0133247913983,27,4,39
"131","31-PSO-H","H","PSO","8/30/19",1700.90120222375,745.544414440199,204.121713245712,2019-07-19,11,49,26,0.64775959023189,42,6,49
"132","04-PSO-H","H","PSO","9/13/19",1968.98544418934,1939.03474771157,244.493440322471,2019-08-07,44,45,40,2.60147048523725,37,6,45
"135","19-PSO-H","H","PSO","9/13/19",1728.66166271409,1074.03177177984,140.001531411056,2019-07-24,30,42,23,0.573322454557829,51,8,42
"136","24-PSO-H","H","PSO","9/13/19",1390.86892623876,580.618080378917,134.741233010052,2019-08-06,43,50,34,-0.34335482803056,38,6,50
"137","30-PSO-L","L","PSO","9/13/19",1645.0236041185,737.415234152966,160.886775521461,2019-08-27,21,45,25,0.26091218483398,17,3,45
"141","54-PSO-L","L","PSO","9/13/19",1563.91312719098,588.512027190987,146.250746754618,2019-08-19,41,35,9,-0.0970261741398213,25,4,35
"142","56-PSO-H","H","PSO","9/13/19",1470.09956572583,601.964340336938,133.335160052817,2019-08-27,64,43,6,-0.260341334755768,17,3,43
"143","57-PSO-L","L","PSO","9/13/19",1696.20471333691,1242.44951566546,181.885762280859,2019-08-19,56,29,6,1.0636792176965,25,4,29
"145","04-PSO-H","H","PSO","9/20/19",1649.36118968034,1036.18425184773,157.869709034091,2019-08-07,44,45,40,0.595941240217222,44,7,45
"147","19-PSO-H","H","PSO","9/20/19",892.290602613379,397.693624635241,120.272324652061,2019-07-24,30,42,23,-1.10077373891123,58,9,42
"148","30-PSO-L","L","PSO","9/20/19",1403.10354961122,529.783548952288,156.178532876762,2019-08-27,21,45,25,-0.229952048041229,24,4,45
"149","39-PSO-H","H","PSO","9/20/19",834.582516900431,369.83630755877,69.051910312657,2019-09-16,84,40,9,-1.57335271294889,4,1,40
"151","48-PSO-H","H","PSO","9/20/19",1521.36660748776,1116.49367170788,137.761935148358,2019-07-11,1,NA,5,0.427662496855265,71,11,42.728813559322
"152","54-PSO-L","L","PSO","9/20/19",1516.8629194389,1146.63302099805,97.5531489999998,2019-08-19,41,35,9,0.153567201210905,32,5,35
