pt1_cam1_X,pt1_cam1_Y
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.693220,884.549230
290.946597,884.549230
289.172952,886.238581
283.598637,901.724297
283.345259,912.423519
281.571614,911.297285
274.223654,900.598063
254.466263,889.101615
253.665464,871.304339
244.055871,856.176654
226.438284,849.947608
216.828691,848.167880
211.223096,849.057744
210.422296,849.947608
218.430290,861.515837
226.438284,862.405701
227.239084,859.736110
219.231090,848.167880
214.426293,836.599651
211.223096,829.480740
208.019898,833.930059
205.617500,844.608425
205.617500,845.498289
208.820697,833.040195
202.414302,820.582102
196.808707,817.912511
196.007907,817.912511
198.410305,823.251694
210.422296,827.701013
242.454272,842.828697
258.470260,841.048970
278.490245,830.370604
292.103835,830.370604
300.912628,836.599651
308.119823,845.498289
312.123820,851.727335
319.331014,860.625973
326.538209,868.634748
332.944604,875.753658
340.151799,886.432024
347.358993,893.550934
359.370984,904.229300
368.980577,910.458347
377.789370,915.797529
384.996565,919.356985
394.606158,927.365759
402.614152,933.594806
407.418948,946.942763
410.622146,959.400856
417.028541,969.189358
422.634137,980.757587
424.235735,985.206906
426.638134,991.435953
429.841331,997.665000
433.044529,1002.114319
437.849325,1008.343365
441.853322,1009.233229
445.857319,1012.792684
446.658118,1013.682548
452.263714,1015.462276
454.666112,1017.242003
458.670109,1018.131867
463.474906,1014.572412
466.678103,1011.012957
469.881301,1002.114319
469.080502,985.206906
459.470909,969.189358
445.857319,954.951537
433.044529,940.713716
424.235735,932.704942
424.235735,914.907666
432.243729,894.440798
449.060517,876.643522
469.080502,866.855020
485.897289,855.286791
511.522870,844.608425
527.538858,831.260468
537.148450,816.132783
548.359642,801.894962
553.164438,784.097686
552.363639,777.868639
551.562839,763.630819
548.359642,752.952453
545.156444,738.714632
542.754046,725.366675
541.953247,715.578173
541.953247,708.459263
541.953247,693.331578
541.152447,681.763348
545.957244,675.534302
548.359642,669.305255
551.562839,665.745800
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
